keyword,local_name,category,sumber,cloudflare_link,edukasi_singkat,langkah_olah,alat_dibutuhkan,hasil_akhir
Cardboard,Kardus Coklat,Anorganik (Kertas),,,"Pastikan kering, tidak berminyak. Lipat dan ikat agar rapi.","Pastikan kering & tidak berminyak. Lipat/pipihkan, ikat rapi. Setor ke bank sampah/pengepul.","Tali, tempat kering",Bubur Kertas (Pulp)
HVS Paper,Kertas HVS/Putih,Anorganik (Kertas),Tiktok wienaspti_hani (note: cut bagian akhirnya),https://files.lingkungansehatasri.my.id/videoOlah/HVSPaper_KertasHVSPutih_AnorganikKertas_Tiktokwienasptihani.mp4,Kumpulkan terpisah. Jangan diremas agar serat tidak rusak. Pastikan kering.,"Pastikan kering, tidak diremas. Kumpulkan terpisah (nilai paling tinggi). Setor ke bank sampah.",Map/box file bekas,Bubur Kertas (Pulp Kualitas Tinggi)
Newspaper,Koran Bekas,Anorganik (Kertas),Tiktok ascraftchannel,https://files.lingkungansehatasri.my.id/videoOlah/Newspaper_KoranBekas_AnorganikKertas_Tiktokascraftchannel.mp4,Kumpulkan kering dan terlipat.,Pastikan kering. Kumpulkan terpisah. Setor ke bank sampah.,Tempat kering,Bubur Kertas (Pulp Kualitas Rendah)
Magazine/Brochure,Majalah/Brosur (Kertas Kilap),Anorganik (Kertas),Tiktok @kamibox.id,https://files.lingkungansehatasri.my.id/videoOlah/MagazineBrochure_MajalahBrosurKertasKilap_AnorganikKertas_Tiktokkamiboxid.mp4,Kumpulkan kering. Kertas kilap (coated) nilainya lebih rendah dari HVS.,Pastikan kering. Kumpulkan terpisah. Setor ke bank sampah.,Tempat kering,Bubur Kertas (Pulp Kualitas Rendah)
Tetra Pak,Karton (Kotak Susu/Teh UHT),Anorganik (Campuran),TikTok Kertabumi Recycling Center,,Sulit didaur ulang (7 lapis). Kumpulkan terpisah di dropbox khusus (jika ada).,"Bilas bersih (gunting & buka), keringkan. Kumpulkan & setor ke dropbox khusus (misal: di Bank Sampah Induk).","Gunting, tempat kering",Bahan (Poly-Al) / Pulp
Multi-layer Sachet,Sachet (Kopi/Shampo),Residu,Tiktok indoangke_,https://files.lingkungansehatasri.my.id/videoOlah/MultilayerSachet_SachetKopiShampo_Residu_Tiktokindoangke.mp4,Sangat sulit didaur ulang (campuran plastik & aluminium). Buang ke residu atau ecobrick.,"Bersihkan, keringkan. Kumpulkan & setor ke dropbox khusus (jika ada) atau jadikan ecobrick.","Dropbox (misal: TerraCycle), Botol PET, Tongkat pemadat",Ecobrick / Bahan bakar (Refuse-Derived Fuel)
Food Scraps (Vegetable),Sisa Sayuran,Organik,Tiktok therose.one,https://files.lingkungansehatasri.my.id/videoOlah/FoodScrapsVegetable_SisaSayuran_Organik_Tiktoktheroseone.mp4,Sangat baik untuk kompos (komponen hijau).,"Potong bagian bonggol (sawi, seledri), letakkan di wadah berisi sedikit air hingga akar tumbuh, lalu pindah ke tanah.","Gelas/wadah kecil, air, tanah",Tanaman Baru (Regrow)
Food Scraps (Fruit Peels),Kulit Buah,Organik,,,Sangat baik untuk kompos atau eco-enzyme.,"Potong kecil, masukkan toples, tambah gula merah (1:3:10 gula:sampah:air), tutup rapat, fermentasi 3 bulan.","Toples/botol kedap udara, gula merah, air",Eco-Enzyme (Cairan Pembersih)
Food Scraps (Cooked),Sisa Makanan Matang,Organik,TikTok storlim.sorowako,https://files.lingkungansehatasri.my.id/videoOlah/FoodScrapsCooked_SisaMakananMatang_Organik_TikTokstorlimsorowako.mp4,"Bisa dikompos, tapi hindari daging/minyak berlebih di kompos aerob (mengundang hama).",Gunakan metode Bokashi. Campur dengan dedak/sekam padi + EM4 di ember tertutup rapat. Fermentasi 2 minggu.,"Ember Bokashi, dedak, EM4",Kompos Bokashi
Eggshells,Cangkang Telur,Organik,,,"Bersihkan, keringkan, hancurkan. Sangat baik untuk kompos (sumber kalsium).","Bersihkan, keringkan (jemur/oven), hancurkan (blender/tumbuk) hingga jadi bubuk.","Blender/Tumbukan, wadah kering",Pupuk Kalsium (Pencegah busuk tomat)
Coffee Grounds,Ampas Kopi,Organik,TikTok Tangantio.co,,Sangat baik untuk kompos (sumber nitrogen).,"Keluarkan dari kemasan. Hancurkan, campur dengan ampas kopi/tanah. Masukkan plastik, buang ke residu.","Alat penumbuk, tanah/ampas kopi, plastik",Dibuang ke TPA (Inert)
Tea Bags,Kantong Teh Celup,Organik (Campuran),TikTok camilefavoloro,https://files.lingkungansehatasri.my.id/videoOlah/TeaBags_KantongTehCelup_OrganikCampuran_TikTokcamilefavoloro.mp4,Sobek kantong (kertas) untuk kompos. Stapler & tag buang ke residu.,,,
Garden Waste (Leaves),Daun Kering,Organik,TikTok DNTrust,https://files.lingkungansehatasri.my.id/videoOlah/GardenWasteLeaves_DaunKering_Organik_TikTokDNTrust.mp4,Sangat baik untuk kompos (komponen coklat).,"Kumpulkan, gunakan sebagai 'komponen coklat' (sumber karbon) dalam komposter aerob.","Komposter, karung",Bahan Kompos
Garden Waste (Twigs),Ranting Kecil,Organik,TikTok LISTIYA,https://files.lingkungansehatasri.my.id/videoOlah/GardenWasteTwigs_RantingKecil_Organik_TikTokLISTIYA.mp4,Potong kecil-kecil agar lebih cepat terurai di kompos.,"Cacah kecil (chopped), gunakan sebagai 'komponen coklat' di dasar komposter untuk aerasi.","Gunting dahan, mesin pencacah (jika ada)",Bahan Kompos (Karbon)
Wood (Untreated),Kayu (Tanpa Cat/Varnish),Organik,TikTok infarm id,https://files.lingkungansehatasri.my.id/videoOlah/WoodUntreated_KayuTanpaCatVarnish_Organik_TikTokinfarmid.mp4,Potong kecil untuk kompos atau biopori.,,,
Bones (Fish/Meat),Tulang Ikan/Daging,Organik,TikTok My Garden,https://files.lingkungansehatasri.my.id/videoOlah/BonesFishMeat_TulangIkanDaging_Organik_TikTokMyGarden.mp4,Lama terurai. Sebaiknya dikubur langsung di tanah (jika memungkinkan).,"Bersihkan, rebus/presto, keringkan, hancurkan. Agak lama, tapi kaya fosfor.","Panci presto, alat penghancur",Tepung Tulang (Pupuk Fosfor)
Used Cooking Oil,Minyak Jelantah,B3 (Limbah B3 RT),,,"Jangan buang di saluran air. Dinginkan, kumpulkan di botol. Setor ke pengelola jelantah.","Dinginkan, saring. Kumpulkan di botol/jerigen tertutup rapat. Setor ke pengelola jelantah (misal: BeliJelantah).","Saringan, corong, botol/jerigen bekas",Bahan Biodiesel / Sabun
Alkaline Battery,Baterai Bekas (A2/A3),B3 (E-Waste),TikTok bdg.dlh,https://files.lingkungansehatasri.my.id/videoOlah/AlkalineBattery_BateraiBekasA2A3_B3EWaste_TikTokbdgdlh.mp4,Jangan buang di sampah biasa. Kumpulkan & setor ke dropbox B3/E-waste.,Lakban/selotip kedua ujung kutubnya (mencegah korslet). Kumpulkan di wadah khusus. Setor ke dropbox E-waste/B3.,"Selotip, wadah B3",Dikelola oleh pengolah B3 (Ekstraksi logam)
Li-ion Battery,Baterai HP/Laptop/Powerbank,B3 (E-Waste),TikTok Komunitas Ewaste Bandung,https://files.lingkungansehatasri.my.id/videoOlah/LiionBattery_BateraiHPLaptopPowerbank_B3EWaste_TikTokKomunitasEwasteBandung.mp4,Sangat berbahaya (mudah terbakar). Kumpulkan & setor ke dropbox E-waste resmi.,Lakban kutubnya. Kumpulkan terpisah (rentan terbakar). Setor ke dropbox E-waste resmi (misal: di gerai elektronik).,"Selotip, wadah B3",Dikelola oleh pengolah B3 (Ekstraksi logam berat)
Fluorescent Bulb (CFL/TL),Lampu Neon/TL,B3,,,Mengandung merkuri. Kumpulkan utuh (jangan dipecah) & setor ke dropbox B3.,"Simpan utuh (jangan dipecah, mengandung merkuri). Masukkan ke kardus/pembungkusnya. Setor ke dropbox B3/E-waste.",Kardus/pembungkus bekas,Dikelola oleh pengolah B3 (Recovery merkuri)
LED Bulb,Lampu LED Bekas,B3 (E-Waste),,,"Meskipun lebih aman dari neon, tetap termasuk E-waste. Setor ke dropbox E-waste.","Simpan utuh (jangan dipecah, mengandung merkuri). Masukkan ke kardus/pembungkusnya. Setor ke dropbox B3/E-waste.",Kardus/pembungkus bekas,Dikelola oleh pengolah B3 (Recovery merkuri)
Electronic Waste (Cable),Kabel Bekas (Charger/Listrik),B3 (E-Waste),,,Kumpulkan & setor ke dropbox E-waste.,Kumpulkan. Setor ke dropbox E-waste.,Wadah E-waste,Dikelola oleh pengolah B3 (Ekstraksi tembaga)
Electronic Waste (Small),Elektronik Kecil (Mouse/Remote),B3 (E-Waste),,,Kumpulkan & setor ke dropbox E-waste.,,,
Expired Medicine,Obat Kadaluwarsa (Tablet/Kapsul),B3,Tiktok @tanyaobat.official,https://files.lingkungansehatasri.my.id/videoOlah/ExpiredMedicine_ObatKadaluwarsaTabletKapsul_B3_Tiktoktanyaobatofficial.mp4,"Hancurkan (tablet) atau keluarkan (kapsul), campur tanah/ampas kopi, buang ke residu. Jangan buang di toilet.","Keluarkan dari kemasan. Hancurkan, campur dengan ampas kopi/tanah. Masukkan plastik, buang ke residu.","Alat penumbuk, tanah/ampas kopi, plastik",Dibuang ke TPA (Inert)
Medical Mask,Masker Medis Bekas,B3 (Spesifik/Medis),Tiktok @ladanglima.id,https://files.lingkungansehatasri.my.id/videoOlah/MedicalMask_MaskerMedisBekas_B3SpesifikMedis_Tiktokladanglimaid.mp4,"Gunting/rusak maskernya, bungkus rapat, buang ke residu (atau B3 Medis jika ada).","Gunting/rusak maskernya, lipat. Semprot disinfektan (jika habis sakit). Bungkus rapat (plastik/kertas). Buang ke residu.","Gunting, disinfektan, plastik",Dibuang ke TPA (Residu)
Diapers (Used),Popok Bekas Pakai,Residu,Tiktok @goo.n_indonesia,https://files.lingkungansehatasri.my.id/videoOlah/DiapersUsed_PopokBekasPakai_Residu_Tiktokgoonindonesia.mp4,"Bersihkan kotoran, bungkus rapat. Buang ke residu. Sangat mencemari TPA.",Bersihkan kotoran (feses) ke toilet. Bungkus popok rapat-rapat. Buang ke sampah residu.,Plastik pembungkus,Dibuang ke TPA (Residu)
Sanitary Pads,Pembalut Wanita,Residu,Tiktok @momenofficialstore,https://files.lingkungansehatasri.my.id/videoOlah/SanitaryPads_PembalutWanita_Residu_Tiktokmomenofficialstore.mp4,Bungkus rapat. Buang ke residu.,,,
Used Tissue,Tisu Bekas,Residu,,,Tidak bisa didaur ulang (serat terlalu pendek). Buang ke residu.,,,
Thermal Receipt Paper,Kertas Struk (Thermal),Residu,Tiktok Mr.Brainboost,https://files.lingkungansehatasri.my.id/videoOlah/ThermalReceiptPaper_KertasStrukThermal_Residu_TiktokMrBrainboost.mp4,Mengandung bahan kimia (BPA/BPS). Tidak bisa didaur ulang. Buang ke residu.,Jangan dimasukkan ke daur ulang kertas (mengandung BPA). Langsung buang ke sampah residu.,Tempat sampah residu,Dibuang ke TPA
Cigarette Butts,Puntung Rokok,Residu,Tiktok edugreen.fp,https://files.lingkungansehatasri.my.id/videoOlah/CigaretteButts_PuntungRokok_Residu_Tiktokedugreenfp.mp4,Mengandung filter plastik dan ribuan racun. Buang ke residu.,Pastikan mati total. Kumpulkan (jika ada program daur ulang filter) atau buang ke residu.,"Asbak, wadah khusus",Dikelola (jika ada) / Dibuang ke TPA
Clothes (Good Condition),Pakaian Bekas (Layak Pakai),Anorganik (Tekstil),Tiktok JulJas | Minimalism Motherhood,https://files.lingkungansehatasri.my.id/videoOlah/ClothesGoodCondition_PakaianBekasLayakPakai_AnorganikTekstil_TiktokJulJasMinimalismMotherhood.mp4,"Donasikan, jual (preloved), atau tukar (swap).",,,
Clothes (Damaged),Kain Perca/Baju Rusak,Residu (Tekstil),"TikTok Jo - Sewing, Upcycling & Craft",https://files.lingkungansehatasri.my.id/videoOlah/ClothesDamaged_KainPercaBajuRusak_ResiduTekstil_TikTokJoSewingUpcyclingCraft.mp4,Sulit didaur ulang. Jadikan lap atau buang ke residu.,"Jadikan lap pembersih, atau kumpulkan untuk kerajinan (patchwork, isi bantal).","Gunting, mesin jahit (opsional)",Lap / Bahan Kerajinan
Rubber (Sandals),Karet (Sandal Jepit),Residu,Tiktok Sath acce,https://files.lingkungansehatasri.my.id/videoOlah/RubberSandals_KaretSandalJepit_Residu_TiktokSathacce.mp4,Sangat sulit didaur ulang. Buang ke residu.,Buang ke sampah residu. Sangat sulit didaur ulang.,Tempat sampah residu,Dibuang ke TPA
PVC (Pipe/Other),PVC (Pipa/Bahan Bangunan),Anorganik,Tiktok Workshop Things,https://files.lingkungansehatasri.my.id/videoOlah/PVCPipeOther_PVCPipaBahanBangunan_Anorganik_TiktokWorkshopThings.mp4,Sulit didaur ulang. Kumpulkan terpisah.,,,
Aerosol Can,Kaleng Aerosol (Semprot),B3,Tiktok Rodolforenueva,https://files.lingkungansehatasri.my.id/videoOlah/AerosolCan_KalengAerosolSemprot_B3_TiktokRodolforenueva.mp4,Pastikan benar-benar kosong. Kumpulkan di dropbox B3 (masih bertekanan/mudah meledak).,,,
Paint Cans,Kaleng Cat Bekas,B3,Tiktok Kertabumi Recycling Center,https://files.lingkungansehatasri.my.id/videoOlah/PaintCans_KalengCatBekas_B3_TiktokKertabumiRecyclingCenter.mp4,"Jika masih ada sisa cat, kumpulkan di dropbox B3. Jika kering & bersih, bisa ke logam.",Pastikan kosong total (jangan ditusuk). Kumpulkan terpisah. Setor ke dropbox B3/E-waste.,Wadah B3,Dikelola oleh pengolah B3
Pesticide/Cleaner Bottle,Botol Pestisida/Pembersih Keras,B3,Tiktok Estu Tani,https://files.lingkungansehatasri.my.id/videoOlah/PesticideCleanerBottle_BotolPestisidaPembersihKeras_B3_TiktokEstuTani.mp4,Kumpulkan terpisah di dropbox B3. Jangan dipakai ulang untuk apapun.,,,
CD/DVD,Kaset CD/DVD,B3 (E-Waste),Tiktok Rio🌏,https://files.lingkungansehatasri.my.id/videoOlah/CDDVD_KasetCDDVD_B3EWaste_TiktokRio.mp4,Termasuk e-waste. Kumpulkan di dropbox e-waste.,,,
Styrofoam (Fruit Net),Jaring Buah (Styrofoam),Residu,Tiktok Wii,https://files.lingkungansehatasri.my.id/videoOlah/StyrofoamFruitNet_JaringBuahStyrofoam_Residu_TiktokWii.mp4,Sulit didaur ulang. Buang ke residu.,,,
Bubble Wrap,Bubble Wrap,Anorganik,Tiktok Kertabumi Recycling Center,https://files.lingkungansehatasri.my.id/videoOlah/BubbleWrap_BubbleWrap_Anorganik_TiktokKertabumiRecyclingCenter.mp4,Kumpulkan terpisah (bersih & kering). Beberapa bank sampah menerima.,"Gunakan ulang untuk packing. Jika sudah rusak, kumpulkan bersih & kering. Setor ke bank sampah (beberapa menerima).",Tempat sampah terpilah,Bahan packing / Biji plastik
